name,frames,a_mean,b_mean,a_std,b_std,a_range,b_range,max_da,max_db,flips,secs
CYM_Farm_S_2026-06-14_14-00_wrasse00004650_track_manual_36-243_20260828_094655,211,-53.27,27.70,0.06,0.11,0.25,0.50,0.05,0.10,0,3.0
CYM_Farm_S_2026-06-15_08-00_wrasse00007270_track_manual_86-353_20260828_094841,268,-18.71,-28.59,0.14,0.14,0.85,0.71,0.19,0.14,0,5.0
EXO_3_2023-07-23_seal,151,-40.11,5.54,17.35,31.44,41.18,72.92,1.88,5.28,8,1.7
KEL33_2026-04-23_08-01_velvetcrab_track_manual_0-696_20260629_112902,697,-17.68,13.83,0.43,0.63,1.80,2.48,0.21,0.19,0,23.1
KEL33_2026-04-23_08-01_velvetcrab_track_manual_162-376_20260706_101032,215,-17.60,13.23,0.26,0.43,0.93,1.57,0.16,0.16,0,6.1
KEL33_2026_04-11_11-01_twostarandcrab_track_manual_0-738_20260629_112651,739,-8.16,-14.94,1.38,2.71,5.23,10.16,0.40,0.83,0,16.7
KEL33_2026_04-11_11-01_twostarandcrab_track_manual_0-738_20260629_112752,739,-8.16,-14.94,1.38,2.71,5.23,10.16,0.40,0.83,0,17.4
KEL33_2026_04-15_14-01_twospotgobyandstar_track_manual_0-84_20260629_112557,85,-8.50,-7.82,0.08,0.07,0.38,0.39,0.22,0.19,0,1.3
KEL33_2026_04-28_08-01_goldsinny_track_manual_0-193_20260629_112409,194,-16.66,10.73,2.09,0.51,5.95,2.06,0.35,0.26,0,16.7
KEL33_2026_05-01_14-01_wrasse_track_manual_0-222_20260629_112318,223,-19.32,21.43,0.19,0.25,0.70,1.16,0.12,0.12,0,5.4
KEL33_2026_05-06_08-01_urchin_track_manual_0-325_20260629_112136,326,-14.27,-0.05,0.09,0.09,0.46,0.53,0.16,0.14,0,7.0
KEL37_2026_04_05_14-01_bird_track_manual_0-115_20260629_111920,116,-10.66,-1.73,0.14,0.27,0.56,0.85,0.19,0.16,0,2.9
KEL37_2026_04_09_14-01_spidercrab_track_manual_0-435_20260629_111810,436,-4.65,-17.48,0.12,0.12,0.68,0.68,0.19,0.17,0,14.5
KEL37_2026_04_14_14-01_stickleback_track_manual_0-336_20260629_111708,337,-8.01,-1.58,0.19,0.41,0.94,1.69,0.25,0.34,0,18.0
KEL37_2026_05_10_11-01_twospotgoby_track_manual_9-422_20260629_111604,414,-17.60,11.80,0.46,1.00,1.86,3.75,0.24,0.38,0,10.0
KEL37_2026_05_12_11-01_twocrab_track_manual_12-539_20260629_111454,528,-13.67,2.90,0.26,0.70,1.35,3.51,0.19,0.23,0,11.5
META_2023-10-01-BRUV1_EXOMATT_D1_OCT23 (5)_trackmanual_1_0-496_20260619_171422,185,-35.15,15.85,0.59,0.42,1.82,1.34,0.28,0.40,0,4.2
META_2023-10-01-BRUV1_EXOMATT_D1_OCT23 (5)_trackmanual_2_0-8569_20260619_171646,299,-9.83,-20.30,0.17,0.17,0.66,0.71,0.23,0.12,0,8.4
META_2023-10-01-BRUV1_EXOMATT_D1_OCT23 (5)_trackmanual_3_0-15726_20260619_171827,299,-15.72,-17.37,0.12,0.05,0.51,0.23,0.07,0.09,0,8.2
META_2023-10-01-BRUV1_EXOREEF_D1_OCT23 (2)_track_manual_27-463_20260625_150945,0,,,,,,,,,,
META_2023-10-01-BRUV1_EXOREEF_D1_OCT23 (2)_track_manual_8470-9020_20260625_151142,551,-21.62,-10.89,0.15,0.14,0.69,0.67,0.20,0.19,0,18.7
NORF-1_2026-06-11_17-01_track_manual_7875-8180_20260825_144726,306,-37.60,-4.10,0.06,0.12,0.37,0.58,0.14,0.26,0,1.6
NORF-1_2026-06-13_08-01_track_manual_1178-1599_20260825_143459,422,-32.97,-12.26,0.14,0.29,0.53,1.26,0.12,0.17,0,5.7
NORF-1_2026-06-13_11-01_track_manual_9473-9601_20260825_144346,211,-62.56,54.14,0.31,0.16,1.08,0.55,0.14,0.12,0,0.7
NORF-1_2026-06-13_14-01_track_manual_1709-1859_20260825_143225,211,-36.96,-6.30,0.10,0.26,0.39,1.02,0.07,0.10,0,2.1
NORF-1_2026-06-13_17-01_track_manual_1967-2255_20260825_142757,289,-34.57,-9.90,0.14,0.41,0.59,1.45,0.13,0.19,0,3.6
NORF-1_2026-06-14_08-01_track_manual_4636-4831_20260825_143019,211,-40.61,-0.50,0.10,0.27,0.44,1.07,0.13,0.17,0,6.2
NORF-1_2026-06-14_11-01_track_manual_5626-5867_20260825_142407,242,-61.97,52.50,0.25,0.08,0.78,0.35,0.09,0.07,0,2.8
NORF-1_2026-06-14_17-01_track_manual_9656-9757_20260825_141949,211,-37.08,-5.59,0.18,0.21,0.73,0.81,0.16,0.17,0,1.1
NORF-1_2026-06-15_08-01_track_manual_6252-6582_20260825_141609,331,-40.63,15.65,0.75,0.36,2.75,1.90,0.23,0.33,0,11.5
NORF-1_2026-06-15_17-01_track_manual_228-542_20260825_140530,315,-46.16,9.20,0.33,0.71,1.15,2.62,0.21,0.29,0,4.0
NORF-1_2026-06-16_08-01_track_manual_8543-9030_20260825_141208,488,-29.23,6.04,0.51,0.41,2.15,1.83,0.25,0.33,0,7.0
NORF-1_2026-06-18_08-01_track_manual_8075-8405_20260825_151036,331,-39.89,14.93,2.18,1.30,6.54,4.65,0.20,0.29,0,1.6
NORF_2025-10-02_09-00-47_trackmanual_1_0-276_20260619_152957,239,-37.32,2.20,0.23,0.36,0.96,1.33,0.10,0.22,0,2.9
OYS_2025-09-17_13-00-53_track_manual_347-752_20260622_105022,406,-35.70,48.24,0.05,0.03,0.22,0.17,0.08,0.03,0,6.7
OYS_2025-09-17_13-00-53_track_manual_347-752_20260622_105025,406,-35.70,48.24,0.05,0.03,0.22,0.17,0.08,0.03,0,5.8
OYS_2025-09-17_13-00-53_track_manual_347-752_20260622_105031,406,-35.70,48.24,0.05,0.03,0.22,0.17,0.08,0.03,0,4.0
OYS_2025-09-17_13-00-53_track_manual_361-712_20260622_102648,352,-35.70,48.23,0.05,0.03,0.22,0.16,0.07,0.03,0,4.1
OYS_2025-09-17_13-00-53_track_manual_361-712_20260622_102653,352,-35.70,48.23,0.05,0.03,0.22,0.16,0.07,0.03,0,3.6
OYS_2025-09-17_13-00-53_track_manual_43-186_20260622_110608,144,-35.57,48.35,0.04,0.03,0.17,0.13,0.08,0.03,0,4.7
OYS_2025-09-17_13-00-53_track_manual_59-160_20260622_115209,102,-35.57,48.35,0.04,0.02,0.18,0.07,0.09,0.03,0,2.8
OYS_2025-09-17_13-00-53_trackmanual_1_0-197_20260622_093334,132,-35.56,48.35,0.04,0.02,0.17,0.07,0.07,0.04,0,0.7
OYS_2025-09-17_13-00-53_trackmanual_3_0-606_20260622_092954,172,-35.69,48.22,0.04,0.03,0.18,0.12,0.08,0.03,0,5.1
OYS_2025-09-21_13-00-53_trackmanual_1_0-567_20260622_090657,184,-28.44,49.44,0.30,0.49,1.29,1.87,0.10,0.33,0,4.7
OYS_2025-09-25_10-00-52_trackmanual_19_0-920_20260619_174043,239,-35.98,47.83,0.05,0.07,0.25,0.29,0.06,0.03,0,11.5
OYS_2025-09-25_10-00-52_trackmanual_21_0-1388_20260619_174407,239,-35.98,47.67,0.06,0.08,0.31,0.29,0.08,0.04,0,36.2
OYS_2025-10-07_16-00-54_trackmanual_16_0-201_20260619_173702,127,-31.94,5.71,0.06,0.15,0.26,0.65,0.07,0.13,0,26.6
OYS_2025-10-07_16-00-54_trackmanual_18_0-694_20260619_173835,239,-32.14,7.03,0.05,0.16,0.23,0.68,0.07,0.14,0,16.3
PROJSG_2025-05-15_15-00-40_trackmanual_14_0-135_20260619_173457,168,-32.38,30.18,0.27,0.46,1.37,2.10,0.29,0.56,0,15.0
PROJSG_2025-05-15_15-00-40_trackmanual_15_0-320_20260619_173544,239,-32.70,30.79,0.32,0.53,1.44,2.51,0.20,0.32,0,1.7
PROJSG_2025-05-19_12-00-40_trackmanual_13_0-141_20260619_173307,168,-53.50,38.34,0.15,0.22,0.64,1.24,0.17,0.23,0,32.0
PROJSG_2025-05-20_09-00-40_trackmanual_11_0-158_20260619_173116,163,-48.33,33.78,0.09,0.16,0.39,0.76,0.11,0.20,0,14.9
PROJSG_2025-05-20_09-00-40_trackmanual_12_0-604_20260619_173209,163,-48.10,33.11,0.11,0.07,0.42,0.34,0.09,0.07,0,22.9
PROJSG_2025-05-23_09-00-41_trackmanual_10_0-119_20260619_172810,168,-38.31,25.58,0.09,0.18,0.45,0.85,0.09,0.19,0,1.0
PROJSG_2025-05-23_15-00-39_trackmanual_8_0-385_20260619_172552,239,-54.16,36.59,0.07,0.11,0.33,0.48,0.11,0.12,0,1.5
