name,site,r_med,r_p99,r_zero,r_uniq
CYM_Farm_S_2026-06-15_08-00_wrasse00007270_track_manual_86-353_20260828_094841,Ramsey Sound Farm,13.0,22.0,0.02887008101851852,88
EXO_3_2023-07-23_seal,Freshwater West,12.0,17.0,0.0004144965277777778,31
KEL33_2026-04-23_08-01_velvetcrab_track_manual_0-696_20260629_112902,,99.0,167.0,0.0,215
KEL33_2026-04-23_08-01_velvetcrab_track_manual_162-376_20260706_101032,,100.0,169.0,0.0,222
KEL33_2026_04-11_11-01_twostarandcrab_track_manual_0-738_20260629_112651,,80.0,124.0,0.0,192
KEL33_2026_04-11_11-01_twostarandcrab_track_manual_0-738_20260629_112752,,80.0,124.0,0.0,192
KEL33_2026_04-15_14-01_twospotgobyandstar_track_manual_0-84_20260629_112557,Kelp Crofters,81.0,154.0,0.0,220
KEL33_2026_04-28_08-01_goldsinny_track_manual_0-193_20260629_112409,,91.0,127.0,9.645061728395062e-07,168
KEL33_2026_05-01_14-01_wrasse_track_manual_0-222_20260629_112318,,101.0,156.0,0.0,212
KEL33_2026_05-06_08-01_urchin_track_manual_0-325_20260629_112136,,75.0,99.0,0.0,185
KEL37_2026_04_05_14-01_bird_track_manual_0-115_20260629_111920,Kelp Crofters,96.0,134.0,0.0,210
KEL37_2026_04_09_14-01_spidercrab_track_manual_0-435_20260629_111810,,73.0,108.0,0.0,166
KEL37_2026_04_14_14-01_stickleback_track_manual_0-336_20260629_111708,,62.0,132.0,3.375771604938272e-06,240
KEL37_2026_05_10_11-01_twospotgoby_track_manual_9-422_20260629_111604,,64.0,128.0,4.822530864197531e-07,197
KEL37_2026_05_12_11-01_twocrab_track_manual_12-539_20260629_111454,,67.0,132.0,0.0,190
META_2023-10-01-BRUV1_EXOMATT_D1_OCT23 (5)_trackmanual_1_0-496_20260619_171422,East Pickard Bay,1.0,249.0,0.5402787422839506,256
META_2023-10-01-BRUV1_EXOMATT_D1_OCT23 (5)_trackmanual_2_0-8569_20260619_171646,East Pickard Bay,26.0,253.0,0.07403838734567901,256
META_2023-10-01-BRUV1_EXOMATT_D1_OCT23 (5)_trackmanual_3_0-15726_20260619_171827,East Pickard Bay,9.0,215.0,0.282953800154321,255
META_2023-10-01-BRUV1_EXOREEF_D1_OCT23 (2)_track_manual_8470-9020_20260625_151142,East Pickard Bay,3.0,21.0,0.49288146219135803,63
NORF-1_2026-06-11_17-01_track_manual_7875-8180_20260825_144726,Blakeney Overfalls,0.0,9.0,0.8913594714506173,46
NORF-1_2026-06-13_08-01_track_manual_1178-1599_20260825_143459,Blakeney Overfalls,0.0,10.0,0.8963667052469135,48
NORF-1_2026-06-13_11-01_track_manual_9473-9601_20260825_144346,Blakeney Overfalls,0.0,6.0,0.9516657021604938,33
NORF-1_2026-06-13_14-01_track_manual_1709-1859_20260825_143225,Blakeney Overfalls,0.0,7.0,0.9339732831790123,40
NORF-1_2026-06-13_17-01_track_manual_1967-2255_20260825_142757,Blakeney Overfalls,0.0,10.0,0.8987770061728395,46
NORF-1_2026-06-14_08-01_track_manual_4636-4831_20260825_143019,Blakeney Overfalls,0.0,8.0,0.9131780478395062,37
NORF-1_2026-06-14_11-01_track_manual_5626-5867_20260825_142407,Blakeney Overfalls,0.0,6.0,0.9483473186728395,30
NORF-1_2026-06-14_17-01_track_manual_9656-9757_20260825_141949,Blakeney Overfalls,0.0,7.0,0.9183762538580247,33
NORF-1_2026-06-15_08-01_track_manual_6252-6582_20260825_141609,Blakeney Overfalls,0.0,8.0,0.8725048225308641,34
NORF-1_2026-06-15_17-01_track_manual_228-542_20260825_140530,Blakeney Overfalls,0.0,8.0,0.9262866512345679,45
NORF-1_2026-06-16_08-01_track_manual_8543-9030_20260825_141208,Blakeney Overfalls,0.0,7.0,0.8847169174382716,27
NORF-1_2026-06-18_08-01_track_manual_8075-8405_20260825_151036,Blakeney Overfalls,0.0,7.0,0.8987504822530864,31
NORF_2025-10-02_09-00-47_trackmanual_1_0-276_20260619_152957,Blakeney Overfalls,0.0,2.0,0.9962562692901235,64
OYS_2025-09-17_13-00-53_track_manual_347-752_20260622_105022,Veerse Meer,76.0,172.0,0.02295090663580247,256
OYS_2025-09-17_13-00-53_track_manual_347-752_20260622_105025,Veerse Meer,76.0,172.0,0.02295090663580247,256
OYS_2025-09-17_13-00-53_track_manual_347-752_20260622_105031,Veerse Meer,76.0,172.0,0.02295090663580247,256
OYS_2025-09-17_13-00-53_track_manual_361-712_20260622_102648,Veerse Meer,76.0,172.0,0.02345727237654321,256
OYS_2025-09-17_13-00-53_track_manual_361-712_20260622_102653,Veerse Meer,76.0,172.0,0.02345727237654321,256
OYS_2025-09-17_13-00-53_track_manual_43-186_20260622_110608,Veerse Meer,76.0,172.0,0.022311921296296295,256
OYS_2025-09-17_13-00-53_track_manual_59-160_20260622_115209,Veerse Meer,76.0,172.0,0.022521701388888888,256
OYS_2025-09-17_13-00-53_trackmanual_1_0-197_20260622_093334,Veerse Meer,76.0,172.0,0.02185715663580247,256
OYS_2025-09-17_13-00-53_trackmanual_3_0-606_20260622_092954,Veerse Meer,76.0,172.0,0.023213734567901236,256
OYS_2025-09-21_13-00-53_trackmanual_1_0-567_20260622_090657,Veerse Meer,87.0,216.0,0.01734278549382716,256
OYS_2025-09-25_10-00-52_trackmanual_19_0-920_20260619_174043,Veerse Meer,73.0,175.0,0.015385802469135802,256
OYS_2025-09-25_10-00-52_trackmanual_21_0-1388_20260619_174407,Veerse Meer,71.0,172.0,0.01865644290123457,256
OYS_2025-10-07_16-00-54_trackmanual_16_0-201_20260619_173702,Veerse Meer,38.0,113.0,0.09431134259259259,201
OYS_2025-10-07_16-00-54_trackmanual_18_0-694_20260619_173835,Veerse Meer,40.0,119.0,0.08184992283950618,205
PROJSG_2025-05-15_15-00-40_trackmanual_14_0-135_20260619_173457,Dale Bay,83.0,158.0,0.002359664351851852,214
PROJSG_2025-05-15_15-00-40_trackmanual_15_0-320_20260619_173544,Dale Bay,77.0,150.0,0.0036535493827160492,222
PROJSG_2025-05-19_12-00-40_trackmanual_13_0-141_20260619_173307,Dale Bay,33.0,66.0,0.010779320987654321,114
PROJSG_2025-05-20_09-00-40_trackmanual_11_0-158_20260619_173116,Dale Bay,46.0,77.0,0.009382716049382716,153
PROJSG_2025-05-20_09-00-40_trackmanual_12_0-604_20260619_173209,Dale Bay,45.0,76.0,0.010849247685185186,154
PROJSG_2025-05-23_09-00-41_trackmanual_10_0-119_20260619_172810,Dale Bay,68.0,106.0,0.0021879822530864197,213
PROJSG_2025-05-23_15-00-39_trackmanual_8_0-385_20260619_172552,Dale Bay,19.0,56.0,0.3582947530864197,98
