name,site,L,a,b,R,G,B,size_mb
CYM_Farm_S_2026-06-09_08-00_wrasses00002775_track_manual_62-133_20260826_155524,Ramsey Sound Farm,57.039288,-9.4298935,-40.981804,0.8899652777777778,146.14057291666666,208.31368055555555,8.477092
CYM_Farm_S_2026-06-09_14-00_moonjelly00005525_track_manual_48-199_20260826_155808,Ramsey Sound Farm,60.904774,-52.92563,25.550125,0.7937326388888889,169.20758680555556,100.15696180555555,6.95732
CYM_Farm_S_2026-06-10_08-00_goldsinnys00004265_track_manual_86-314_20260826_160036,Ramsey Sound Farm,54.264893,-11.499428,-32.81196,37.81043402777778,139.13270833333334,186.49538194444443,8.454758
CYM_Farm_S_2026-06-10_08-00_goldsinnys00004765_track_manual_17-243_20260826_160303,Ramsey Sound Farm,57.491104,-43.306564,17.301178,41.49060763888889,157.0548263888889,107.27994791666667,7.26506
CYM_Farm_S_2026-06-10_14-00_dragonetseagooseberry00003130_track_manual_69-259_20260826_160452,Ramsey Sound Farm,61.55924,-54.430573,28.385574,0.8095659722222223,171.38567708333332,96.36605902777778,6.781349
CYM_Farm_S_2026-06-12_11-00_crabwrasse00000465_track_manual_474-639_20260828_093947,Ramsey Sound Farm,61.174732,-53.073105,25.820847,0.9338541666666667,169.98388888888888,100.34529513888889,7.388032
CYM_Farm_S_2026-06-12_11-00_crabwrasse00000465_track_manual_495-624_20260828_094150,Ramsey Sound Farm,61.650253,-53.40957,25.979538,0.8702256944444444,171.36739583333335,101.18586805555556,7.439806
CYM_Farm_S_2026-06-13_14-00_moonjelly00009000_track_manual_24-204_20260828_094506,Ramsey Sound Farm,60.80627,-53.056633,26.084763,0.8772048611111111,168.86149305555554,98.83513888888889,7.149674
CYM_Farm_S_2026-06-14_14-00_wrasse00004650_track_manual_36-243_20260828_094655,Ramsey Sound Farm,60.576496,-53.383087,27.264893,0.9539409722222222,168.26758680555557,95.99001736111111,6.594277
CYM_Farm_S_2026-06-15_08-00_wrasse00007270_track_manual_86-353_20260828_094841,Ramsey Sound Farm,57.64919,-19.212257,-28.503838,12.055572916666666,151.21772569444445,188.0537326388889,12.753173
EXO_3_2023-07-23_seal,Freshwater West,62.92434,-59.002464,40.541077,11.714878472222223,175.90168402777778,75.21446180555556,2.063495
KEL33_2026-04-23_08-01_velvetcrab_track_manual_0-696_20260629_112902,,52.850464,-17.5158,13.618088,102.30581597222222,134.43675347222222,102.86744791666666,55.434998
KEL33_2026-04-23_08-01_velvetcrab_track_manual_162-376_20260706_101032,,53.240177,-17.10965,12.3858185,102.97885416666666,135.34293402777777,106.03246527777777,17.223121
KEL33_2026_04-11_11-01_twostarandcrab_track_manual_0-738_20260629_112651,,47.677044,-9.959198,-10.704079,78.87137152777778,119.40092013888889,132.00616319444444,63.27169
KEL33_2026_04-11_11-01_twostarandcrab_track_manual_0-738_20260629_112752,,47.677044,-9.959198,-10.704079,78.87137152777778,119.40092013888889,132.00616319444444,63.27169
KEL33_2026_04-15_14-01_twospotgobyandstar_track_manual_0-84_20260629_112557,Kelp Crofters,48.701607,-8.638092,-7.637398,89.56137152777778,120.8721875,128.75890625,6.683546
KEL33_2026_04-28_08-01_goldsinny_track_manual_0-193_20260629_112409,,47.58647,-15.753075,10.749237,88.31427083333334,120.96463541666667,95.25767361111112,15.823808
KEL33_2026_05-01_14-01_wrasse_track_manual_0-222_20260629_112318,,53.569164,-19.561668,21.976135,103.6081423611111,137.94913194444445,90.0338888888889,18.713043
KEL33_2026_05-06_08-01_urchin_track_manual_0-325_20260629_112136,,43.766796,-14.110031,-0.30859375,70.08928819444445,112.16246527777778,106.44416666666666,21.778361
KEL37_2026_04_05_14-01_bird_track_manual_0-115_20260629_111920,Kelp Crofters,49.77809,-10.520592,-2.1664047,91.60881944444445,125.84802083333334,124.95873263888889,8.441128
KEL37_2026_04_09_14-01_spidercrab_track_manual_0-435_20260629_111810,,43.422016,-4.653801,-17.675262,69.74534722222222,108.51883680555555,136.09276041666666,22.322904
KEL37_2026_04_14_14-01_stickleback_track_manual_0-336_20260629_111708,,36.32732,-7.839409,-2.343422,67.59295138888889,90.87779513888889,91.25939236111111,36.414674
KEL37_2026_05_10_11-01_twospotgoby_track_manual_9-422_20260629_111604,,38.57179,-17.434273,12.293854,64.15637152777778,100.21203125,71.24513888888889,37.776711
KEL37_2026_05_12_11-01_twocrab_track_manual_12-539_20260629_111454,,40.76807,-14.288139,5.0466003,72.17361111111111,103.6809375,89.19659722222222,37.207283
META_2023-10-01-BRUV1_EXOMATT_D1_OCT23 (5)_trackmanual_1_0-496_20260619_171422,East Pickard Bay,43.48763,-35.77529,15.853577,18.81987847222222,116.96324652777778,75.63491319444445,13.737556
META_2023-10-01-BRUV1_EXOMATT_D1_OCT23 (5)_trackmanual_2_0-8569_20260619_171646,East Pickard Bay,41.048374,-9.815033,-20.39,34.76696180555555,103.04440972222223,130.14263888888888,33.330561
META_2023-10-01-BRUV1_EXOMATT_D1_OCT23 (5)_trackmanual_3_0-15726_20260619_171827,East Pickard Bay,41.61018,-15.842468,-17.49054,18.062170138888888,106.74454861111111,126.76914930555556,32.327127
META_2023-10-01-BRUV1_EXOREEF_D1_OCT23 (2)_track_manual_8470-9020_20260625_151142,East Pickard Bay,38.923027,-21.616722,-11.023628,4.428888888888889,102.02102430555556,109.27789930555555,54.913475
